country,year,Exports of goods and services (current US$),GDP (current US$),GDP growth (annual %),GDP per capita (current US$),Merchandise trade (% of GDP),Trade (% of GDP)
Italy,2007,6.04759E+11,2.21029E+12,1.48707298,37822.66524,45.76516175,55.06145563
Italy,2012,5.92297E+11,2.08708E+12,-2.980905768,35053.52624,47.43025699,55.65472084
Italy,2017,6.02933E+11,1.9618E+12,1.667859041,32406.72032,48.96232347,58.60417595
Japan,1976,76182443148,5.86162E+11,3.974984091,5197.806697,22.55332686,25.32626223
Japan,1979,1.16997E+11,1.05501E+12,5.484041832,9105.136097,20.10687802,23.14407548
Japan,1986,2.26862E+11,2.07895E+12,3.326525616,17111.85373,16.27309255,18.15109001
Japan,1990,3.20166E+11,3.13282E+12,4.892713066,25359.34702,16.69260895,19.66274882
Japan,1995,4.88884E+11,5.44912E+12,2.742140322,43440.36787,14.2958593,16.67948188
Japan,2001,4.40214E+11,4.30354E+12,0.406335903,33846.46564,17.48756268,19.79812812
Japan,2007,7.8987E+11,4.51526E+12,1.654183881,35275.22843,29.60114509,33.09388849
Japan,2012,9.02242E+11,6.20321E+12,1.495089586,48603.47665,27.153847,30.63612369
Japan,2017,8.63959E+11,4.86686E+12,2.168290737,38386.51115,28.15827368,34.57343816
"Korea, Rep.",1976,7634504132,29902479339,13.2214478,834.134208,55.14592891,53.88038251
"Korea, Rep.",1979,15836157025,66946900826,8.671226707,1783.622313,52.87175293,54.5445848
"Korea, Rep.",1986,37350048216,1.16837E+11,11.3272612,2834.903848,56.74581836,60.10702446
"Korea, Rep.",1990,70825844919,2.83368E+11,9.877552502,6610.036508,47.59190372,50.75031338
"Korea, Rep.",1995,1.45749E+11,5.66583E+11,9.614565393,12564.77813,45.92033361,52.46402196
"Korea, Rep.",2001,1.74088E+11,5.47658E+11,4.852399572,11561.24837,53.23338231,62.22379722
"Korea, Rep.",2007,4.38466E+11,1.17261E+12,5.799548415,24086.41044,62.11208004,73.87452529
"Korea, Rep.",2012,6.91553E+11,1.27843E+12,2.402530992,25466.76052,83.49749108,105.4583277
"Korea, Rep.",2017,6.64731E+11,1.6239E+12,3.15963574,31616.8434,64.79284624,77.12091781
Mexico,1976,7558155844,89025974026,4.417444135,1453.670648,10.60926331,18.35707513
Mexico,1979,15056293860,1.34561E+11,9.698170138,2034.989007,15.6567927,23.64011734
Mexico,1986,22445889179,1.3455E+11,-3.078955375,1733.91315,29.26567951,29.60622259
Mexico,1990,48866100761,2.61254E+11,5.175768386,3112.268706,32.2518065,38.51969641
Mexico,1995,86954944699,3.60074E+11,-6.291230821,3928.223926,42.76038781,46.32101929
Mexico,2001,1.71521E+11,7.56706E+11,-0.404390127,7544.568648,43.81964307,47.16607302
Mexico,2007,2.89778E+11,1.0527E+12,2.291445714,9642.680605,53.39308303,56.79527936
Mexico,2012,3.87539E+11,1.20109E+12,3.642322679,10241.72792,62.54710372,65.76724582
Mexico,2017,4.36349E+11,1.15774E+12,2.118082347,9278.418168,72.69462657,77.1941394
Spain,1976,14892644118,1.18507E+11,3.303791526,3279.312643,22.1117397,30.07750026
Spain,1979,29409382747,2.14602E+11,0.04154651,5770.214627,20.33811841,27.83599738
Spain,1986,45733714150,2.51321E+11,3.253321727,6513.50328,24.77428525,35.34734198
Spain,1990,84372755958,5.36559E+11,3.781393458,13804.8768,26.71786496,35.61073344
Spain,1995,1.34151E+11,6.14609E+11,2.757494039,15471.96272,34.39357265,44.77537409
Spain,2001,1.74772E+11,6.27287E+11,3.932948843,15355.70317,43.25134844,57.99715546
Spain,2007,3.82529E+11,1.47213E+12,3.604687971,32549.97098,43.65086704,57.74760376
Spain,2012,4.16726E+11,1.32482E+12,-2.959441302,28324.42934,47.74897393,60.84536984
Spain,2017,4.61735E+11,1.31255E+12,2.891768107,28170.43457,51.16080357,66.77757906
Sweden,1976,22510340320,89362071673,1.058104866,10868.27577,42.59413338,51.75856261
Sweden,1979,34178609993,1.23386E+11,3.840003514,14877.16428,45.65899921,56.15359324
Sweden,1986,45859726697,1.50498E+11,2.691323188,17981.01942,46.4829919,58.23108592
Sweden,1990,73113160016,2.61846E+11,0.754674753,30593.67245,42.69834824,55.82322127
Sweden,1995,99234716050,2.67306E+11,3.935192926,30282.96392,54.4230462,68.60045742
Sweden,2001,1.04038E+11,2.42396E+11,1.449498618,27247.85773,57.2802705,80.58829004
Sweden,2007,2.33887E+11,4.91253E+11,3.439221776,53700.00534,65.55548145,89.16208221
Sweden,2012,2.4877E+11,5.52484E+11,-0.588304569,58037.82132,60.95763248,85.28225106
Sweden,2017,2.36613E+11,5.41019E+11,2.567924525,53791.50873,56.76975153,84.93474943
Switzerland,1976,28703376740,66493313570,-1.403676036,10550.30089,44.53079326,80.25209246
Switzerland,1979,50672878090,1.1164E+11,2.491512132,17736.55341,50.06613156,89.26442028
Switzerland,1986,68986425427,1.54482E+11,1.85863277,23751.44952,50.81874298,88.2949532
Switzerland,1990,1.08671E+11,2.58067E+11,3.674625625,38428.3855,51.71727931,83.70214449
Switzerland,1995,1.39383E+11,3.42617E+11,0.480866442,48662.43977,47.22269959,77.09564281
Switzerland,2001,1.41794E+11,2.78631E+11,1.312423646,38538.99005,59.66523397,96.16370429
Switzerland,2007,2.94204E+11,4.79913E+11,4.111877802,63555.2375,69.44133128,111.3108466
Switzerland,2012,4.47814E+11,6.68044E+11,1.006024094,83538.23008,91.07564044,123.6823644
Switzerland,2017,4.4219E+11,6.7995E+11,1.799408986,80449.99456,83.74683378,119.5080307
United Kingdom,1976,65114522013,2.32615E+11,2.910266152,4138.167788,43.46245655,57.11807246
United Kingdom,1979,1.20112E+11,4.38994E+11,3.749016605,7804.762081,42.36890942,54.36428852
United Kingdom,1986,1.49325E+11,6.01453E+11,3.150340588,10611.11221,38.8098712,50.25911175
United Kingdom,1990,2.52215E+11,1.09317E+12,0.733755493,19095.467,37.33629976,48.00055775
United Kingdom,1995,3.42844E+11,1.34158E+12,2.531670028,23123.17779,37.65719252,50.83772269
United Kingdom,2001,4.10658E+11,1.64025E+12,2.97436368,27744.50646,37.53333,52.27362681
United Kingdom,2007,7.82655E+11,3.10088E+12,2.430553212,50566.8266,35.19546619,52.45902591
United Kingdom,2012,8.10793E+11,2.70489E+12,1.478923947,42462.77157,43.68462356,61.12241805
United Kingdom,2017,8.0963E+11,2.66623E+12,1.892077038,40361.41738,40.58162022,61.94513887
United States,1976,1.49515E+11,1.87341E+12,5.388139227,8592.253537,13.30678996,16.04884564
United States,1979,2.3013E+11,2.62733E+12,3.166150271,11674.18631,15.5514297,18.37619427
United States,1986,3.20998E+11,4.57963E+12,3.462651713,19071.22719,13.30788441,16.89797715
United States,1990,5.51873E+11,5.96314E+12,1.885960323,23888.60001,15.2701159,19.81505058
United States,1995,8.1281E+11,7.63975E+12,2.684287132,28690.8757,17.743973,22.45338165
United States,2001,1.02464E+12,1.05818E+13,0.998340795,37133.24281,18.0335684,22.84295783
United States,2007,1.66085E+12,1.44519E+13,1.876171458,47975.96768,21.92522136,27.95580207
United States,2012,2.19128E+12,1.6197E+13,2.249545852,51610.60528,23.96879199,30.56818394
United States,2017,2.35673E+12,1.94854E+13,2.21701033,59957.72585,20.29596645,27.14232024
