country,year,export,gdp,gdpgrowth,gdppercapita,merchexport,merchtrade,population,trade
Brazil,1976,10.741988183039199,152.678020452829,9.79041016147646,1390.62497537665,10.128,15.6237288964392,109.790938,16.4683313792368
Brazil,1979,16.0266125503001,224.969488835181,6.76628496532688,1908.48762658653,15.244,15.5790014821419,117.878411,16.2994727376357
Brazil,1986,23.6405561971808,268.137224729722,7.98829510486274,1941.49110905835,22.349,14.1367913530874,138.108912,15.1711652325925
Brazil,1990,37.88,461.951782,-3.10235594875007,3100.28046842987,31.414,11.6756774411577,149.003223,15.1617555617526
Brazil,1995,57.9200411899313,769.305386182849,4.41673135543735,4748.21552893015,46.506,13.0823209882063,162.019896,16.9844599991956
Brazil,2001,69.2039195646629,559.372276081966,1.38989640325894,3156.79871788773,58.287,20.8571294982993,177.196054,26.936285022064
Brazil,2007,186.198863078424,1397.08434995635,6.06987060771837,7348.03079355548,160.649,20.5638263723287,190.130443,25.2926113700037
Brazil,2012,292.804259894527,2465.1886744150297,1.92115031836302,12370.0242007149,242.578,19.3078933446319,199.287296,25.1142943781206
Brazil,2017,258.329886570157,2062.83104593595,1.32286905404399,9925.38623770041,217.826,18.1967883768051,207.833831,24.3277137261615
China,1976,6.94344287627485,153.940455341506,-1.57000000275067,165.40554037242,6.943,8.83653356086462,930.685,8.83691360503246
China,1979,9.20434782608696,178.280594413043,7.59999999999992,183.983152215978,13.614,16.3983074525026,969.005,11.0865781306023
China,1986,26.20258069047,300.758100107246,8.93970893970905,281.928120911563,30.942,24.5532871678826,1066.79,19.8814799533638
China,1990,49.12975892,360.857912565966,3.90711389605602,317.884673040928,62.091,31.9893221071876,1135.185,24.2731321081918
China,1995,131.858826,734.547898220508,10.9492273730679,609.656679202484,148.78,38.2363084395738,1204.855,34.2740960269445
China,2001,272.06001051589004,1339.3957188653,8.33991054985508,1053.10824300452,266.098,38.0508159628703,1271.85,38.5273592759292
China,2007,1258.0567959406799,3550.34242523825,14.2313880356882,2693.96982683485,1220.456,61.3059738837427,1317.885,62.1933689382041
China,2012,2175.0806256795,8532.23072414176,7.85962749328517,6316.91886335683,2048.714,45.3236571423001,1350.695,48.2675181972745
China,2017,2424.19991170508,12310.4086524235,6.94620009249279,8879.43814888506,2263.346,33.3631329061643,1386.395,37.6324154368305
France,1976,71.9885277246654,372.319038514067,4.356758932559,6866.81828557848,56.874,32.4871917597171,54.220022,39.5998708787581
France,1979,127.186247301881,613.9531298180699,3.54998914739832,11179.6312730408,100.692,33.8301068782803,54.917118,41.0336254739961
France,1986,157.252580736812,771.4707832181081,2.337276389968,13540.2470824157,124.948,32.9693626165609,56.976123,40.8879984679522
France,1990,266.219732562342,1269.1796169136298,2.9239351370326,21793.8426479832,216.588,35.5366564345553,58.235697,42.7360551888574
France,1995,362.214482849257,1601.09475620975,2.10669523353155,26890.2198804535,301.162,36.8843254098219,59.541899,43.6461285770923
France,2001,389.070246085011,1376.46532438479,1.98372140247594,22433.5557141945,323.379,47.3667580613704,61.35743,54.9593680925757
France,2007,740.120448946072,2657.21324938407,2.42473623791508,41508.4339850416,559.612,44.8015604421643,64.016225,56.420756583014
France,2012,783.758210131325,2683.82522509263,0.313134741678468,40874.7035053457,568.708,46.3190742965424,65.659809,59.7020591687875
France,2017,803.163777629413,2595.15104519765,2.29141998537759,38812.1610341682,535.188,44.4612656413655,66.864379,62.9618472934066
Germany,1976,93.9285128165294,519.754453161411,4.94925839024336,6634.85689909309,102.162,36.667891701702104,78.33695,38.3701405990245
Germany,1979,157.096457475189,881.345176395262,4.15036332866411,11281.0233217764,171.804,37.6072858713137,78.12635,39.2245734100662
Germany,1986,222.718700891651,1046.25937512384,2.28733926717875,13461.8310057324,243.326,41.5000343436451,77.720436,42.944631388004
Germany,1990,404.57594116934996,1771.6712073598799,5.25500608859595,22303.9613327585,421.1,43.8448170728898,79.433029,45.8635875989575
Germany,1995,568.725262726901,2585.7922751467204,1.5347974754814,31658.3493789135,523.461,38.1829975087221,81.678051,43.5816342149572
Germany,2001,619.095302013423,1944.1073825503402,1.69773236086638,23607.8828553922,571.645,54.4087229694275,82.349925,62.0628388890423
Germany,2007,1482.17081850534,3421.22912674514,2.98407727316592,41587.2128984264,1321.214,69.4544829349283,82.266372,79.8744173951311
Germany,2012,1633.4118611437,3527.34494413983,0.41955108005358,43858.3630551076,1401.113,72.4614416927487,80.425823,86.5140548790483
Germany,2017,1737.49709602118,3665.8041208352997,2.46503002917808,44349.5896552757,1448.191,71.2285194170448,82.657002,87.6933981306568
India,1976,6.8681964131881905,102.717164465894,1.66310363661293,161.092091731697,5.549,10.9173574429457,637.630087,12.8012030727464
India,1979,10.3263830419494,152.991653792864,-5.23818270278925,224.001016839808,7.806,11.5254653197444,682.995354,14.9188045314645
India,1986,12.9378641535995,248.9859940442,4.77656417048958,310.465935085896,9.399,9.96843219847699,801.975244,12.2192718991954
India,1990,22.6397749115525,320.979026419633,5.53345456306511,367.556609311203,17.969,12.9444594755798,873.277798,15.506261510216
India,1995,39.068859788059406,360.281952716797,7.57449184032379,373.766480007829,30.63,18.1349633272802,963.922588,22.8674487058705
India,2001,60.9635255044702,485.441014538638,4.82396626390644,451.573001074356,43.361,19.3129540339937,1075.000085,25.9932547534365
India,2007,253.07731857618,1216.73544152486,7.66081506504928,1028.33477107667,150.159,31.1924011619452,1183.209472,45.6862686794412
India,2012,448.400543291471,1827.6378591357,5.45635895072287,1443.87952939042,296.828,43.034893158317,1265.78279,55.7937217287511
India,2017,498.25856086056797,2652.75468583459,7.04382085538124,1981.6510498992,299.241,28.2410583986699,1338.658835,40.7228112797537
Japan,1976,76.1824431481778,586.16185900102,3.97498409101746,5197.80669676619,67.304,22.5533268618506,112.771,25.3262622289695
Japan,1979,116.99714883727299,1055.01211952816,5.48404183245223,9105.13609673044,102.299,20.1068780228679,115.87,23.1440754776235
Japan,1986,226.862362760934,2078.95333367355,3.32652561629578,17111.8537325384,210.757,16.2730925471136,121.492,18.1510900118969
Japan,1990,320.166445085208,3132.81765284804,4.89271306575883,25359.34702031,287.581,16.6926089529848,123.537,19.6627488241512
Japan,1995,488.883643987429,5449.116304981099,2.74214032208901,43440.3678678967,443.116,14.295859299019,125.439,16.6794818841082
Japan,2001,440.213809225625,4303.54425984272,0.406335903186886,33846.4656414342,403.496,17.4875626822879,127.149,19.7981281249701
Japan,2007,789.8695155558011,4515.264514430571,1.65418388116969,35275.2284312667,714.327,29.601145087478,128.001,33.0938884857704
Japan,2012,902.241999043109,6203.21312133412,1.49508958594926,48603.4766497749,798.568,27.153846999178,127.629,30.6361236890786
Japan,2017,863.958580239173,4866.86440965768,2.16829073735609,38386.5111457057,698.329,28.1582736778235,126.785797,34.5734381588921
United Kingdom,1976,65.1145220125786,232.614555256065,2.91026615187553,4138.16778761535,45.356,43.4624565469293,56.211968,57.1180724604094
United Kingdom,1979,120.112041931385,438.994070309191,3.74901660548265,7804.76208051155,86.397,42.3689094180701,56.246951,54.3642885191492
United Kingdom,1986,149.32504206977399,601.452653180885,3.15034058844796,10611.112210096,107.093,38.8098711952641,56.681396,50.2591117469432
United Kingdom,1990,252.21495543323903,1093.16938920455,0.733755493255472,19095.4669984608,185.172,37.3362997565266,57.247586,48.0005577473756
United Kingdom,1995,342.843616853401,1341.584345905,2.53167002781396,23123.1777902009,237.953,37.6571925233073,58.01903,50.8377226928515
United Kingdom,2001,410.65783791564695,1640.24614941701,2.97436368031538,27744.5064592461,274.676,37.5333299955506,59.119673,52.2736268066371
United Kingdom,2007,782.65506202481,3100.88235294118,2.43055321242285,50566.8265956828,446.805,35.195466186095,61.322463,52.4590259133152
United Kingdom,2012,810.792893788929,2704.8876783867204,1.4789239471568,42462.771568145,478.78,43.6846235591104,63.700215,61.1224180512883
United Kingdom,2017,809.630497408069,2666.22917995801,1.89207703836381,40361.4173832159,440.997,40.5816202197983,66.058859,61.9451388664298
United States,1976,149.515,1873.412,5.38813922657351,8592.25353727612,116.794,13.3067899639802,218.035,16.0488456356637
United States,1979,230.13,2627.334,3.16615027095321,11674.1863100131,186.363,15.5514297002208,225.055,18.3761942714554
United States,1986,320.998,4579.631,3.46265171279892,19071.2271949295,227.158,13.3078844125214,240.133,16.8979771514343
United States,1990,551.873,5963.144,1.88596032309418,23888.6000088133,393.592,15.2701158985931,249.623,19.8150505840543
United States,1995,812.81,7639.749,2.68428713241977,28690.8757013347,584.743,17.7439730022544,266.278,22.4533816490568
United States,2001,1024.636,10581.821399,0.9983407946565,37133.2428088526,729.1,18.03356840043,284.968955,22.8429578317059
United States,2007,1660.853,14451.85865,1.87617145846693,47975.9676758856,1148.199,21.9252213624439,301.231207,27.955802072559
United States,2012,2191.28,16197.007349,2.24954585236992,51610.6052783379,1545.703,23.968791989464,313.83099,30.5681839448303
United States,2017,2356.726,19485.393853,2.21701033031884,59957.7258513032,1546.273,20.2959664548485,324.985539,27.1423202420193
